Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 1/12/2018 10:00 PM        ,         
 , 1/12/2018 11:00 PM        ,         
 , 1/12/2018 24:00 AM        ,         
 , 1/13/2018 1:00 AM         ,         
 , 1/13/2018 2:00 AM         ,         
 , 1/13/2018 3:00 AM         ,         
 , 1/13/2018 4:00 AM         ,         
 , 1/13/2018 5:00 AM         ,         
 , 1/13/2018 6:00 AM         ,         
 , 1/13/2018 7:00 AM         ,         
 , 1/13/2018 8:00 AM         ,         
 , 1/13/2018 9:00 AM         ,         
 , 1/13/2018 10:00 AM        ,         
 , 1/13/2018 11:00 AM        ,         
 , 1/13/2018 12:00 PM        ,         
 , 1/13/2018 1:00 PM         ,         
 , 1/13/2018 2:00 PM         ,         
 , 1/13/2018 3:00 PM         ,         
 , 1/13/2018 4:00 PM         ,         
 , 1/13/2018 5:00 PM         ,         
 , 1/13/2018 6:00 PM         ,         
 , 1/13/2018 7:00 PM         ,         
 , 1/13/2018 8:00 PM         ,         
 , 1/13/2018 9:00 PM         ,         
 , 1/13/2018 10:00 PM        ,         
 , 1/13/2018 11:00 PM        ,         
 , 1/13/2018 24:00 AM        ,         
 , 1/14/2018 1:00 AM         ,         
 , 1/14/2018 2:00 AM         ,         
 , 1/14/2018 3:00 AM         ,         
 , 1/14/2018 4:00 AM         ,         
 , 1/14/2018 5:00 AM         ,         
 , 1/14/2018 6:00 AM         ,         
 , 1/14/2018 7:00 AM         ,         
 , 1/14/2018 8:00 AM         ,         
 , 1/14/2018 9:00 AM         ,         
 , 1/14/2018 10:00 AM        ,         
 , 1/14/2018 11:00 AM        ,         
 , 1/14/2018 12:00 PM        ,         
 , 1/14/2018 1:00 PM         ,         
 , 1/14/2018 2:00 PM         ,         
 , 1/14/2018 3:00 PM         ,         
 , 1/14/2018 4:00 PM         ,         
 , 1/14/2018 5:00 PM         ,         
 , 1/14/2018 6:00 PM         ,         
 , 1/14/2018 7:00 PM         ,         
 , 1/14/2018 8:00 PM         ,         
 , 1/14/2018 9:00 PM         ,         
 , 1/14/2018 10:00 PM        ,         
 , 1/14/2018 11:00 PM        ,         
 , 1/14/2018 24:00 AM        ,         
 , 1/15/2018 1:00 AM         ,         
 , 1/15/2018 2:00 AM         ,         
 , 1/15/2018 3:00 AM         ,         
 , 1/15/2018 4:00 AM         ,         
 , 1/15/2018 5:00 AM         ,         
 , 1/15/2018 6:00 AM         ,         
 , 1/15/2018 7:00 AM         ,         
 , 1/15/2018 8:00 AM         ,         
 , 1/15/2018 9:00 AM         ,         
 , 1/15/2018 10:00 AM        ,         
 , 1/15/2018 11:00 AM        ,         
 , 1/15/2018 12:00 PM        ,         
 , 1/15/2018 1:00 PM         ,         
 , 1/15/2018 2:00 PM         ,         
 , 1/15/2018 3:00 PM         ,         
 , 1/15/2018 4:00 PM         ,         
 , 1/15/2018 5:00 PM         ,         
 , 1/15/2018 6:00 PM         ,         
 , 1/15/2018 7:00 PM         ,         
 , 1/15/2018 8:00 PM         ,         
 , 1/15/2018 9:00 PM         ,         
 , 1/15/2018 10:00 PM        ,         
 , 1/15/2018 11:00 PM        ,         
 , 1/15/2018 24:00 AM        ,         
 , 1/16/2018 1:00 AM         ,         
 , 1/16/2018 2:00 AM         ,         
 , 1/16/2018 3:00 AM         ,         
 , 1/16/2018 4:00 AM         ,         
 , 1/16/2018 5:00 AM         ,         
 , 1/16/2018 6:00 AM         ,         
 , 1/16/2018 7:00 AM         ,         
 , 1/16/2018 8:00 AM         ,         
 , 1/16/2018 9:00 AM         ,         
 , 1/16/2018 10:00 AM        ,         
 , 1/16/2018 11:00 AM        ,         
 , 1/16/2018 12:00 PM        ,         
 , 1/16/2018 1:00 PM         ,         
 , 1/16/2018 2:00 PM         ,         
 , 1/16/2018 3:00 PM         ,         
 , 1/16/2018 4:00 PM         ,         
 , 1/16/2018 5:00 PM         ,         
 , 1/16/2018 6:00 PM         , 25.7    
 , 1/16/2018 7:00 PM         , 24.3    
 , 1/16/2018 8:00 PM         , 27.4    
 , 1/16/2018 9:00 PM         , 29.3    
